match_id,date,kickoff_time_utc,stage_id,venue_id,home_team_id,away_team_id,home_score,away_score,status,home_xg,away_xg,referee_id,player_of_the_match_id,home_team,home_ranking,home_elo,home_market_value,home_avg_player_value,home_avg_caps,home_total_caps,home_avg_height,home_total_goals,away_team,away_ranking,away_elo,away_market_value,away_avg_player_value,away_avg_caps,away_total_caps,away_avg_height,away_total_goals,stadium_name,city,country,capacity,latitude,longitude,elevation_meters,stage_name,is_knockout,result,ranking_diff,elo_diff,market_value_diff,avg_player_value_diff,avg_caps_diff,total_caps_diff,height_diff,player_goals_diff
1,2026-06-11,19:00,1,1,1,2,2.0,0.0,Completed,1.84,0.52,1,16.0,Mexico,14,1810,191850000,7378846.153846154,47.57692307692308,1237,179.5,120,South Africa,60,1620,47700000,1834615.3846153845,20.692307692307693,538,178.84615384615384,66,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,80824,19.3031,-99.1506,2200,Group Stage,False,0.0,-46,190,144150000,5544230.76923077,26.884615384615387,699,0.6538461538461604,54
2,2026-06-11,23:00,1,7,3,4,2.0,1.0,Completed,1.45,1.12,2,58.0,South Korea,22,1800,139050000,5348076.923076923,37.46153846153846,974,181.92307692307693,144,Czechia,40,1740,188175000,7237500.0,28.384615384615383,738,185.73076923076923,99,Guadalajara Stadium (Estadio Akron),Zapopan,MEX,48070,20.6811,-103.4628,1566,Group Stage,False,0.0,-18,60,-49125000,-1889423.076923077,9.076923076923077,236,-3.8076923076922924,45
3,2026-06-12,19:00,1,6,5,6,1.0,1.0,Completed,1.35,0.98,3,112.0,Canada,33,1795,196350000,7551923.076923077,37.42307692307692,973,182.30769230769232,134,Bosnia and Herzegovina,64,1645,146400000,5630769.230769231,23.576923076923077,613,187.07692307692307,94,Toronto Stadium (BMO Field),Toronto,CAN,30000,43.6328,-79.4186,76,Group Stage,False,1.0,-31,150,49950000,1921153.846153846,13.846153846153843,360,-4.769230769230745,40
4,2026-06-12,23:00,1,3,13,14,4.0,1.0,Completed,2.76,0.88,4,332.0,USA,17,1850,362650000,13948076.923076924,37.57692307692308,977,183.3846153846154,128,Paraguay,54,1725,153150000,5890384.615384615,27.115384615384617,705,181.6153846153846,54,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,70240,33.9535,-118.339,30,Group Stage,False,0.0,-37,125,209500000,8057692.307692309,10.461538461538463,272,1.7692307692307736,74
5,2026-06-13,15:00,1,10,7,8,1.0,1.0,Completed,0.78,1.54,5,157.0,Qatar,56,1600,19925000,766346.1538461539,61.0,1586,179.3846153846154,216,Switzerland,19,1860,332500000,12788461.538461538,44.15384615384615,1148,185.23076923076923,125,Boston Stadium (Gillette Stadium),Foxborough,USA,65878,42.0909,-71.2643,87,Group Stage,False,1.0,37,-260,-312575000,-12022115.384615384,16.846153846153847,438,-5.84615384615384,91
6,2026-06-13,18:00,1,2,9,10,1.0,1.0,Completed,1.62,1.1,6,215.0,Brazil,6,2030,928200000,35700000.0,35.84615384615385,932,183.1153846153846,153,Morocco,7,1920,447700000,17219230.769230768,27.807692307692307,723,182.3846153846154,102,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,82500,40.8136,-74.0744,7,Group Stage,False,1.0,-1,110,480500000,18480769.230769232,8.03846153846154,209,0.7307692307692264,51
7,2026-06-13,21:00,1,14,11,12,0.0,1.0,Completed,1.25,0.65,7,293.0,Haiti,83,1530,54850000,2109615.3846153845,24.73076923076923,643,181.57692307692307,115,Scotland,39,1720,128650000,4948076.923076923,38.03846153846154,989,184.46153846153845,99,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,69796,39.9008,-75.1675,3,Group Stage,False,2.0,44,-190,-73800000,-2838461.5384615385,-13.30769230769231,-346,-2.884615384615387,16
8,2026-06-13,23:59,1,16,15,16,2.0,0.0,Completed,1.48,0.72,8,381.0,Australia,27,1790,80750000,3105769.230769231,28.884615384615383,751,183.57692307692307,75,Türkiye,26,1780,473700000,18219230.769230768,38.03846153846154,989,183.76923076923077,97,Seattle Stadium (Lumen Field),Seattle,USA,69000,47.5952,-122.3316,3,Group Stage,False,0.0,1,10,-392950000,-15113461.538461536,-9.153846153846157,-238,-0.1923076923077076,-22
9,2026-06-14,15:00,1,9,17,18,7.0,1.0,Completed,4.82,0.44,9,423.0,Germany,10,1970,947000000,36423076.92307692,33.07692307692308,860,186.19230769230768,112,Curaçao,82,1520,31400000,1207692.3076923077,24.423076923076923,635,181.92307692307693,73,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,71000,33.7553,-84.4017,318,Group Stage,False,0.0,-72,450,915600000,35215384.615384616,8.653846153846157,225,4.269230769230745,39
10,2026-06-14,18:00,1,15,21,22,2.0,2.0,Completed,1.95,1.82,10,524.0,Netherlands,8,1980,754200000,29007692.307692308,33.73076923076923,877,185.15384615384616,155,Japan,18,1880,270850000,10417307.692307692,31.653846153846153,823,181.6153846153846,115,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,68500,37.4033,-121.9698,8,Group Stage,False,1.0,-10,100,483350000,18590384.615384616,2.07692307692308,54,3.538461538461547,40
